Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum
TSPEAR,0.0,10.0,0.0,5.0,5.0,1.0,1.0,0.0,18.0,157.0,12.0,0.0,0.0,116.0,3.0,0.0,6.0,1.0,0.0,321.0,0.0,254
TSPO,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,19
TSPO2,0.0,9.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,26.0,2.0,0.0,0.0,16.0,0.0,0.0,1.0,1.0,0.0,60.0,0.0,55
TSPY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,11
TSPY2,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,24
TSPY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
TSPY8,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15
TSPYL1,0.0,12.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,55.0,6.0,0.0,0.0,10.0,0.0,0.0,4.0,1.0,0.0,86.0,0.0,80
TSPYL2,0.0,31.0,0.0,0.0,13.0,0.0,4.0,0.0,0.0,105.0,9.0,1.0,0.0,45.0,3.0,0.0,23.0,0.0,0.0,188.0,0.0,165
TSPYL4,0.0,11.0,39.0,3.0,11.0,2.0,0.0,0.0,0.0,39.0,11.0,0.0,0.0,13.0,0.0,0.0,11.0,2.0,0.0,116.0,0.0,110
TSPYL5,0.0,29.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,104.0,4.0,0.0,0.0,41.0,0.0,0.0,3.0,2.0,0.0,183.0,0.0,148
TSPYL6,0.0,17.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,83.0,3.0,0.0,0.0,36.0,0.0,0.0,6.0,0.0,0.0,155.0,0.0,135
TSR1,0.0,21.0,0.0,12.0,4.0,1.0,1.0,0.0,15.0,89.0,7.0,0.0,0.0,32.0,1.0,0.0,6.0,3.0,1.0,173.0,0.0,140
TSR2,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,28.0,5.0,0.0,0.0,12.0,1.0,0.0,4.0,0.0,0.0,57.0,0.0,55
TSR3,0.0,8.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,33.0,4.0,0.0,0.0,19.0,1.0,0.0,4.0,0.0,0.0,65.0,0.0,61
TSSC1,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,64.0,3.0,0.0,0.0,37.0,2.0,0.0,0.0,1.0,0.0,121.0,0.0,109
TSSC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,109.0,0.0,3.0,0.0,7.0,0.0,0.0,106.0,0.0,99
TSSC4,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,0.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,73.0,0.0,67
TSSK1B,0.0,23.0,0.0,15.0,7.0,1.0,0.0,0.0,0.0,119.0,5.0,0.0,0.0,61.0,0.0,0.0,7.0,1.0,0.0,223.0,0.0,192
TSSK2,0.0,13.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,64.0,2.0,0.0,0.0,27.0,0.0,0.0,4.0,1.0,0.0,117.0,0.0,106
TSSK3,0.0,2.0,0.0,13.0,5.0,3.0,0.0,0.0,1.0,37.0,1.0,0.0,0.0,8.0,0.0,0.0,5.0,3.0,0.0,62.0,0.0,65
TSSK4,0.0,4.0,0.0,10.0,1.0,3.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,13.0,0.0,1.0,1.0,4.0,0.0,60.0,0.0,58
TSSK6,0.0,3.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,58.0,5.0,0.0,0.0,32.0,0.0,0.0,0.0,2.0,0.0,118.0,0.0,102
TST,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,24.0,1.0,0.0,3.0,0.0,0.0,71.0,0.0,65
TSTA3,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,35.0,7.0,0.0,0.0,20.0,6.0,0.0,1.0,1.0,0.0,76.0,0.0,65
TSTD1,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,17
TSTD2,0.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,54.0,14.0,0.0,0.0,26.0,1.0,0.0,4.0,1.0,0.0,101.0,0.0,90
TSTD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8
TTBK1,0.0,24.0,0.0,5.0,8.0,7.0,1.0,0.0,18.0,212.0,14.0,0.0,0.0,107.0,3.0,0.0,12.0,9.0,0.0,378.0,0.0,305
TTBK2,0.0,15.0,4.0,1.0,11.0,6.0,1.0,0.0,3.0,171.0,17.0,0.0,0.0,56.0,2.0,0.0,18.0,6.0,0.0,263.0,0.0,210
TTC1,0.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,41.0,2.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,69.0,0.0,56
TTC12,6.0,2.0,0.0,4.0,9.0,0.0,0.0,0.0,3.0,98.0,12.0,0.0,0.0,65.0,7.0,0.0,9.0,0.0,0.0,197.0,0.0,174
TTC13,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,156.0,11.0,0.0,0.0,36.0,5.0,0.0,8.0,1.0,0.0,224.0,0.0,192
TTC14,1.0,10.0,0.0,21.0,12.0,8.0,0.0,0.0,64.0,154.0,17.0,0.0,0.0,40.0,5.0,0.0,38.0,10.0,0.0,284.0,0.0,264
TTC16,0.0,10.0,0.0,0.0,3.0,1.0,0.0,0.0,16.0,129.0,13.0,0.0,0.0,45.0,2.0,0.0,3.0,3.0,0.0,213.0,0.0,177
TTC17,0.0,11.0,0.0,4.0,2.0,2.0,0.0,1.0,14.0,185.0,14.0,0.0,0.0,62.0,5.0,1.0,14.0,4.0,0.0,283.0,0.0,245
TTC18,0.0,4.0,0.0,4.0,5.0,3.0,0.0,0.0,47.0,166.0,28.0,0.0,0.0,58.0,5.0,0.0,6.0,3.0,0.0,311.0,0.0,226
TTC19,0.0,2.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,16.0,3.0,0.0,4.0,0.0,0.0,64.0,0.0,62
TTC21A,0.0,1.0,0.0,2.0,5.0,1.0,1.0,0.0,11.0,205.0,14.0,0.0,0.0,89.0,7.0,0.0,9.0,1.0,0.0,326.0,0.0,260
